fips,male_total,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_plus,female_total,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_plus
1,158018753.0,10151822.0,10431216.0,10585293.0,6442108.0,4417530.0,2398153.0,2353533.0,6799319.0,11378442.0,10877571.0,10170543.0,10073171.0,10374280.0,10865843.0,10433027.0,3909845.0,5301749.0,3286984.0,4235432.0,5335292.0,3654544.0,2433521.0,2109535.0,162985654.0,9701693.0,10013906.0,10127818.0,6147423.0,4211989.0,2258672.0,2224827.0,6467461.0,11028476.0,10759684.0,10218866.0,10193839.0,10587316.0,11263704.0,11090433.0,4207280.0,5805186.0,3644183.0,4760304.0,6241194.0,4561022.0,3438390.0,4031988.0
42,6260160.0,364406.0,374501.0,391987.0,245664.0,180584.0,93252.0,88888.0,254539.0,433017.0,402873.0,370426.0,378200.0,418352.0,454380.0,457275.0,175646.0,233822.0,142943.0,185872.0,229503.0,163174.0,113753.0,107103.0,6530345.0,347241.0,362082.0,371280.0,231756.0,176331.0,88338.0,89249.0,244454.0,418669.0,394929.0,367505.0,385650.0,427052.0,470451.0,480120.0,184348.0,252216.0,158098.0,207152.0,272305.0,211485.0,171338.0,218296.0
42101,742412.0,54896.0,46287.0,47497.0,27076.0,22880.0,13163.0,11385.0,36735.0,76204.0,62478.0,49704.0,42143.0,44155.0,45370.0,44371.0,16544.0,20992.0,12667.0,16179.0,19560.0,14026.0,9533.0,8567.0,827245.0,52840.0,46619.0,43920.0,26454.0,23450.0,12506.0,13852.0,38101.0,82138.0,67053.0,53595.0,46662.0,48698.0,50852.0,51225.0,19747.0,27058.0,16098.0,22099.0,26849.0,20212.0,16807.0,20410.0
42101024400,1177.0,82.0,32.0,61.0,28.0,39.0,42.0,44.0,80.0,87.0,100.0,106.0,73.0,57.0,58.0,35.0,52.0,91.0,32.0,24.0,9.0,18.0,18.0,9.0,1816.0,174.0,82.0,95.0,143.0,26.0,0.0,83.0,11.0,215.0,143.0,51.0,120.0,34.0,158.0,206.0,9.0,63.0,32.0,10.0,16.0,61.0,54.0,30.0
42101035900,2327.0,42.0,113.0,88.0,88.0,19.0,7.0,32.0,35.0,105.0,161.0,168.0,61.0,343.0,101.0,250.0,58.0,114.0,106.0,0.0,127.0,78.0,138.0,93.0,2999.0,109.0,134.0,185.0,103.0,0.0,18.0,21.0,81.0,132.0,160.0,122.0,143.0,146.0,371.0,205.0,140.0,80.0,117.0,131.0,103.0,177.0,179.0,142.0
42101036201,2414.0,105.0,103.0,181.0,56.0,17.0,6.0,33.0,110.0,321.0,216.0,179.0,141.0,87.0,128.0,244.0,106.0,46.0,0.0,119.0,54.0,98.0,56.0,8.0,2368.0,112.0,77.0,92.0,78.0,39.0,6.0,39.0,88.0,145.0,229.0,178.0,133.0,45.0,179.0,282.0,75.0,99.0,56.0,57.0,121.0,103.0,73.0,62.0
42101036202,2966.0,198.0,376.0,114.0,70.0,54.0,55.0,0.0,44.0,283.0,243.0,301.0,122.0,209.0,137.0,178.0,94.0,73.0,0.0,48.0,155.0,145.0,44.0,23.0,2979.0,155.0,115.0,75.0,188.0,15.0,7.0,0.0,35.0,236.0,191.0,221.0,161.0,302.0,239.0,138.0,88.0,125.0,66.0,135.0,207.0,113.0,67.0,100.0
42101010600,797.0,77.0,63.0,84.0,31.0,6.0,0.0,4.0,14.0,45.0,26.0,14.0,65.0,74.0,84.0,65.0,27.0,68.0,17.0,22.0,6.0,5.0,0.0,0.0,935.0,126.0,29.0,74.0,40.0,4.0,0.0,0.0,21.0,95.0,59.0,41.0,41.0,67.0,52.0,71.0,9.0,18.0,84.0,13.0,25.0,30.0,9.0,27.0
42101024600,1171.0,225.0,117.0,61.0,7.0,47.0,9.0,7.0,20.0,26.0,30.0,190.0,51.0,48.0,91.0,126.0,25.0,31.0,0.0,0.0,24.0,10.0,10.0,16.0,1809.0,216.0,133.0,85.0,158.0,18.0,63.0,4.0,104.0,226.0,37.0,139.0,106.0,53.0,148.0,51.0,23.0,20.0,83.0,7.0,36.0,69.0,30.0,0.0
42101024900,1060.0,35.0,58.0,138.0,8.0,74.0,0.0,38.0,82.0,4.0,44.0,27.0,113.0,80.0,18.0,81.0,44.0,27.0,7.0,78.0,42.0,55.0,7.0,0.0,1655.0,130.0,77.0,140.0,76.0,43.0,0.0,22.0,47.0,110.0,72.0,129.0,108.0,80.0,127.0,80.0,75.0,103.0,24.0,44.0,51.0,24.0,18.0,75.0
