fips,male_total,male_disabled_under_5,male_nondisabled_under_5,male_disabled_5_to_17,male_nondisabled_5_to_17,male_disabled_18_to_34,male_nondisabled_18_to_34,male_disabled_35_to_64,male_nondisabled_35_to_64,male_disabled_65_to_74,male_nondisabled_65_to_74,male_disabled_75_plus,male_nondisabled_75_plus,female_total,female_disabled_under_5,female_nondisabled_under_5,female_disabled_5_to_17,female_nondisabled_5_to_17,female_disabled_18_to_34,female_nondisabled_18_to_34,female_disabled_35_to_64,female_nondisabled_35_to_64,female_disabled_65_to_74,female_nondisabled_65_to_74,female_disabled_75_plus,female_nondisabled_75_plus
1,154419680.0,82294.0,10068824.0,1824988.0,25534250.0,2423873.0,34126589.0,7697311.0,52050582.0,3405367.0,9291689.0,3798413.0,4115500.0,161607961.0,68388.0,9632632.0,1078889.0,25173594.0,2040980.0,34674356.0,8114035.0,55011073.0,3494597.0,11007618.0,5762947.0,5548852.0
42,6125876.0,2743.0,361625.0,87007.0,919104.0,100810.0,1303615.0,326167.0,2108149.0,140203.0,410111.0,167298.0,199044.0,6460969.0,2487.0,344714.0,48759.0,915004.0,91397.0,1315184.0,350661.0,2207851.0,140841.0,489420.0,271817.0,282834.0
42101,734814.0,499.0,54387.0,12757.0,107693.0,17131.0,203122.0,50658.0,210264.0,15047.0,32547.0,14907.0,15802.0,820878.0,551.0,52274.0,7052.0,109820.0,14792.0,221748.0,60951.0,236016.0,21509.0,42635.0,31239.0,22291.0
42101024400,1177.0,0.0,82.0,10.0,111.0,4.0,388.0,50.0,422.0,0.0,65.0,17.0,28.0,1816.0,0.0,174.0,27.0,293.0,24.0,454.0,122.0,519.0,16.0,42.0,66.0,79.0
42101035900,2327.0,0.0,42.0,0.0,289.0,22.0,337.0,87.0,1008.0,18.0,215.0,179.0,130.0,2999.0,0.0,109.0,0.0,422.0,62.0,350.0,140.0,1067.0,111.0,240.0,367.0,131.0
42101036201,2414.0,0.0,105.0,34.0,306.0,74.0,629.0,228.0,703.0,67.0,106.0,90.0,72.0,2368.0,0.0,112.0,0.0,247.0,35.0,511.0,144.0,847.0,0.0,234.0,108.0,130.0
42101036202,2966.0,0.0,198.0,37.0,523.0,124.0,555.0,131.0,983.0,62.0,141.0,87.0,125.0,2979.0,0.0,155.0,0.0,378.0,30.0,454.0,241.0,1033.0,96.0,312.0,124.0,156.0
42101010600,797.0,0.0,77.0,0.0,178.0,0.0,95.0,108.0,289.0,27.0,18.0,0.0,5.0,935.0,0.0,126.0,0.0,143.0,44.0,135.0,126.0,173.0,109.0,13.0,32.0,34.0
42101024600,1147.0,0.0,225.0,0.0,182.0,26.0,92.0,123.0,439.0,0.0,24.0,18.0,18.0,1793.0,10.0,204.0,0.0,376.0,20.0,418.0,65.0,475.0,74.0,52.0,82.0,17.0
42101024900,1060.0,0.0,35.0,5.0,199.0,53.0,189.0,57.0,333.0,53.0,74.0,15.0,47.0,1655.0,0.0,130.0,17.0,276.0,38.0,256.0,209.0,493.0,82.0,37.0,59.0,58.0
42101025800,670.0,0.0,40.0,0.0,83.0,0.0,108.0,17.0,228.0,25.0,106.0,24.0,39.0,950.0,0.0,30.0,7.0,99.0,9.0,127.0,32.0,338.0,68.0,149.0,24.0,67.0
42101026500,2556.0,0.0,116.0,9.0,549.0,46.0,586.0,211.0,733.0,27.0,102.0,76.0,101.0,3097.0,0.0,260.0,62.0,353.0,0.0,786.0,170.0,946.0,98.0,217.0,164.0,41.0
42101026700,2532.0,0.0,43.0,55.0,433.0,124.0,574.0,140.0,748.0,16.0,244.0,30.0,125.0,4148.0,0.0,345.0,107.0,727.0,82.0,721.0,221.0,1227.0,56.0,330.0,227.0,105.0
42101034000,1491.0,0.0,40.0,59.0,361.0,29.0,184.0,34.0,574.0,20.0,93.0,15.0,82.0,1439.0,26.0,89.0,0.0,214.0,19.0,185.0,93.0,515.0,17.0,126.0,91.0,64.0
42101026800,1899.0,0.0,237.0,29.0,179.0,39.0,526.0,181.0,439.0,39.0,163.0,24.0,43.0,2644.0,0.0,215.0,45.0,380.0,32.0,622.0,167.0,895.0,84.0,133.0,49.0,22.0
42101031900,2479.0,0.0,167.0,35.0,376.0,9.0,643.0,319.0,802.0,23.0,45.0,39.0,21.0,2657.0,0.0,138.0,10.0,414.0,15.0,726.0,179.0,834.0,41.0,123.0,101.0,76.0
42101033000,3344.0,0.0,384.0,117.0,717.0,88.0,670.0,331.0,878.0,43.0,45.0,24.0,47.0,4010.0,0.0,315.0,92.0,513.0,66.0,1043.0,434.0,986.0,119.0,212.0,188.0,42.0
42101034600,1247.0,0.0,93.0,12.0,118.0,9.0,348.0,83.0,375.0,39.0,68.0,31.0,71.0,1470.0,0.0,45.0,0.0,162.0,31.0,393.0,115.0,476.0,32.0,94.0,78.0,44.0
42101034801,2199.0,0.0,99.0,92.0,213.0,55.0,445.0,211.0,626.0,59.0,216.0,112.0,71.0,2190.0,8.0,71.0,21.0,277.0,0.0,353.0,180.0,693.0,51.0,312.0,122.0,102.0
42101006100,1452.0,33.0,71.0,8.0,303.0,30.0,218.0,69.0,528.0,0.0,91.0,42.0,59.0,1527.0,0.0,38.0,9.0,184.0,0.0,352.0,68.0,602.0,9.0,118.0,92.0,55.0
42101008400,2019.0,37.0,224.0,185.0,264.0,23.0,423.0,187.0,497.0,48.0,75.0,56.0,0.0,2702.0,0.0,197.0,0.0,530.0,42.0,463.0,262.0,866.0,89.0,95.0,81.0,77.0
42101009000,3214.0,0.0,27.0,0.0,127.0,105.0,2727.0,66.0,136.0,15.0,0.0,11.0,0.0,2843.0,0.0,0.0,0.0,76.0,69.0,2569.0,29.0,72.0,9.0,8.0,11.0,0.0
42101010200,1625.0,0.0,173.0,48.0,365.0,51.0,159.0,192.0,422.0,74.0,61.0,61.0,19.0,1686.0,0.0,93.0,34.0,260.0,52.0,316.0,198.0,475.0,68.0,76.0,97.0,17.0
42101010900,1363.0,0.0,161.0,0.0,317.0,21.0,539.0,43.0,160.0,55.0,20.0,39.0,8.0,1473.0,0.0,87.0,8.0,284.0,19.0,514.0,126.0,275.0,40.0,38.0,61.0,21.0
42101014200,2147.0,0.0,114.0,0.0,31.0,0.0,1175.0,96.0,682.0,0.0,47.0,1.0,1.0,2240.0,0.0,244.0,16.0,139.0,0.0,1211.0,41.0,520.0,14.0,28.0,11.0,16.0
42101016100,3170.0,0.0,258.0,108.0,363.0,67.0,981.0,243.0,953.0,0.0,126.0,59.0,12.0,2857.0,0.0,243.0,18.0,381.0,185.0,951.0,200.0,736.0,42.0,40.0,14.0,47.0
42101016901,1463.0,0.0,96.0,35.0,198.0,29.0,623.0,72.0,327.0,39.0,0.0,44.0,0.0,1734.0,0.0,121.0,0.0,174.0,29.0,489.0,216.0,523.0,68.0,50.0,54.0,10.0
42101017400,877.0,0.0,40.0,27.0,107.0,36.0,105.0,139.0,329.0,21.0,31.0,33.0,9.0,1161.0,0.0,88.0,14.0,83.0,19.0,344.0,101.0,324.0,67.0,24.0,74.0,23.0
42101025900,2156.0,0.0,0.0,24.0,385.0,107.0,521.0,153.0,678.0,50.0,166.0,9.0,63.0,2656.0,0.0,127.0,0.0,248.0,40.0,698.0,216.0,916.0,69.0,211.0,83.0,48.0
42101029000,3695.0,0.0,416.0,162.0,503.0,286.0,923.0,315.0,846.0,96.0,148.0,0.0,0.0,3677.0,0.0,245.0,70.0,1189.0,30.0,879.0,158.0,938.0,28.0,73.0,51.0,16.0
42101030100,2672.0,0.0,108.0,159.0,753.0,136.0,507.0,367.0,492.0,16.0,126.0,2.0,6.0,3041.0,0.0,258.0,17.0,533.0,141.0,659.0,234.0,1047.0,95.0,37.0,13.0,7.0
42101013700,2217.0,0.0,182.0,19.0,233.0,0.0,733.0,90.0,772.0,46.0,98.0,0.0,44.0,2438.0,0.0,141.0,0.0,430.0,30.0,604.0,139.0,779.0,60.0,97.0,138.0,20.0
42101011500,2064.0,0.0,105.0,22.0,406.0,0.0,554.0,142.0,655.0,98.0,52.0,10.0,20.0,2622.0,0.0,171.0,0.0,510.0,0.0,507.0,129.0,1020.0,12.0,101.0,151.0,21.0
42101012000,882.0,0.0,23.0,0.0,55.0,18.0,347.0,54.0,296.0,0.0,47.0,8.0,34.0,980.0,0.0,48.0,0.0,133.0,0.0,395.0,38.0,246.0,6.0,33.0,67.0,14.0
42101012100,905.0,0.0,132.0,0.0,95.0,17.0,185.0,0.0,292.0,38.0,73.0,34.0,39.0,1910.0,35.0,181.0,0.0,149.0,25.0,548.0,107.0,497.0,36.0,73.0,166.0,93.0
42101016600,638.0,0.0,0.0,0.0,8.0,34.0,195.0,112.0,233.0,56.0,0.0,0.0,0.0,970.0,0.0,6.0,0.0,88.0,72.0,281.0,135.0,248.0,55.0,6.0,47.0,32.0
42101017602,2248.0,0.0,136.0,271.0,460.0,68.0,511.0,236.0,466.0,84.0,0.0,0.0,16.0,2105.0,0.0,154.0,102.0,501.0,114.0,367.0,349.0,369.0,74.0,18.0,0.0,57.0
42101017300,1124.0,0.0,65.0,23.0,92.0,46.0,306.0,132.0,260.0,45.0,77.0,60.0,18.0,1236.0,0.0,79.0,10.0,121.0,26.0,322.0,148.0,342.0,14.0,37.0,86.0,51.0
42101017500,3349.0,18.0,304.0,133.0,549.0,138.0,595.0,409.0,899.0,94.0,73.0,54.0,83.0,3417.0,0.0,321.0,46.0,640.0,115.0,803.0,339.0,796.0,158.0,88.0,65.0,46.0
42101025300,2044.0,16.0,169.0,53.0,321.0,11.0,395.0,148.0,766.0,0.0,126.0,15.0,24.0,2440.0,0.0,169.0,14.0,376.0,33.0,587.0,258.0,745.0,24.0,145.0,43.0,46.0
42101023800,1932.0,0.0,184.0,51.0,181.0,4.0,423.0,108.0,629.0,110.0,129.0,64.0,49.0,1979.0,0.0,92.0,33.0,156.0,0.0,610.0,151.0,608.0,58.0,152.0,37.0,82.0
42101025200,3343.0,0.0,277.0,87.0,518.0,199.0,762.0,242.0,856.0,59.0,156.0,66.0,121.0,3583.0,0.0,328.0,0.0,568.0,61.0,1036.0,325.0,754.0,90.0,139.0,164.0,118.0
42101026200,1797.0,0.0,98.0,18.0,192.0,38.0,487.0,157.0,437.0,40.0,185.0,46.0,99.0,2217.0,0.0,30.0,36.0,201.0,11.0,337.0,51.0,824.0,140.0,250.0,187.0,150.0
42101027300,3015.0,0.0,129.0,74.0,518.0,11.0,895.0,193.0,975.0,9.0,138.0,35.0,38.0,3276.0,0.0,190.0,29.0,557.0,25.0,735.0,361.0,1142.0,87.0,124.0,7.0,19.0
42101028400,2156.0,0.0,143.0,44.0,606.0,71.0,566.0,185.0,450.0,0.0,68.0,0.0,23.0,2253.0,21.0,130.0,36.0,328.0,99.0,487.0,179.0,672.0,43.0,131.0,75.0,52.0
42101028600,2696.0,0.0,121.0,50.0,966.0,17.0,428.0,208.0,749.0,33.0,72.0,22.0,30.0,3978.0,23.0,159.0,19.0,997.0,123.0,923.0,349.0,1143.0,12.0,128.0,73.0,29.0
42101000100,2024.0,0.0,68.0,0.0,115.0,11.0,1089.0,59.0,543.0,0.0,67.0,14.0,58.0,2131.0,0.0,31.0,0.0,14.0,75.0,1151.0,112.0,588.0,29.0,29.0,7.0,95.0
42101001300,3082.0,0.0,139.0,0.0,273.0,120.0,1146.0,71.0,1002.0,69.0,207.0,0.0,55.0,3400.0,19.0,293.0,67.0,125.0,0.0,1382.0,204.0,885.0,48.0,89.0,222.0,66.0
42101030700,2156.0,0.0,329.0,83.0,323.0,60.0,450.0,248.0,555.0,9.0,40.0,44.0,15.0,2221.0,17.0,402.0,16.0,241.0,40.0,473.0,142.0,561.0,81.0,103.0,100.0,45.0
42101031200,2445.0,0.0,258.0,87.0,458.0,42.0,624.0,201.0,542.0,50.0,110.0,46.0,27.0,2762.0,0.0,335.0,84.0,579.0,90.0,563.0,171.0,683.0,95.0,95.0,29.0,38.0
42101023100,601.0,0.0,11.0,8.0,131.0,0.0,72.0,12.0,267.0,0.0,62.0,5.0,33.0,716.0,0.0,76.0,0.0,127.0,0.0,93.0,19.0,289.0,0.0,78.0,10.0,24.0
42101023500,619.0,0.0,48.0,22.0,57.0,2.0,125.0,22.0,237.0,6.0,56.0,22.0,22.0,663.0,0.0,41.0,0.0,56.0,0.0,135.0,27.0,285.0,5.0,69.0,21.0,24.0
42101004001,2065.0,0.0,116.0,65.0,79.0,13.0,818.0,204.0,518.0,11.0,41.0,134.0,66.0,1970.0,0.0,65.0,8.0,156.0,44.0,470.0,96.0,620.0,91.0,165.0,163.0,92.0
42101001900,1630.0,0.0,155.0,0.0,11.0,34.0,666.0,107.0,584.0,0.0,73.0,0.0,0.0,1751.0,0.0,150.0,9.0,80.0,0.0,733.0,73.0,592.0,70.0,19.0,25.0,0.0
42101003100,1929.0,0.0,66.0,0.0,345.0,24.0,438.0,152.0,656.0,65.0,74.0,73.0,36.0,2390.0,0.0,135.0,0.0,230.0,79.0,689.0,171.0,733.0,7.0,70.0,179.0,97.0
42101003200,1525.0,0.0,126.0,82.0,286.0,10.0,362.0,106.0,490.0,19.0,26.0,18.0,0.0,2539.0,0.0,118.0,31.0,387.0,32.0,786.0,233.0,507.0,126.0,150.0,79.0,90.0
