fips,no_schooling,nursery,kindergarten,first_grade,second_grade,third_grade,fourth_grade,fifth_grade,sixth_grade,seventh_grade,eigth_grade,ninth_grade,tenth_grade,eleventh_grade,twelfth_grade,high_school_diploma,ged,less_than_1_year_college,one_or_more_years_college,associates,bachelors,masters,professional,doctorate
1,3121238.0,39751.0,46579.0,133764.0,292749.0,620670.0,476892.0,681373.0,2622794.0,950430.0,2773314.0,3394121.0,3936071.0,4467173.0,3880195.0,50496716.0,8596896.0,13442760.0,31493074.0,17917481.0,41377068.0,18154808.0,4393328.0,2962399.0
42,88660.0,1465.0,1152.0,2205.0,3782.0,9355.0,8720.0,12697.0,29798.0,23741.0,114888.0,107455.0,174227.0,188649.0,132188.0,2811564.0,350222.0,482638.0,944806.0,724522.0,1621733.0,752518.0,171742.0,127226.0
42101,21981.0,339.0,329.0,548.0,1069.0,2913.0,2918.0,4173.0,7942.0,5180.0,13365.0,16923.0,32306.0,38594.0,27433.0,313462.0,42347.0,50465.0,126577.0,58296.0,166567.0,78460.0,24746.0,15063.0
42101024400,83.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,40.0,0.0,98.0,141.0,23.0,636.0,46.0,165.0,317.0,121.0,223.0,64.0,0.0,0.0
42101035900,79.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,31.0,64.0,25.0,14.0,108.0,30.0,87.0,1535.0,245.0,150.0,463.0,435.0,655.0,269.0,30.0,17.0
42101036201,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,6.0,0.0,24.0,67.0,118.0,127.0,1270.0,109.0,180.0,581.0,262.0,641.0,148.0,19.0,28.0
42101036202,44.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,18.0,44.0,97.0,54.0,16.0,99.0,1712.0,230.0,275.0,616.0,210.0,602.0,289.0,47.0,21.0
42101010600,33.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,6.0,8.0,42.0,32.0,120.0,36.0,355.0,73.0,87.0,227.0,52.0,35.0,32.0,0.0,0.0
42101024600,46.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,7.0,13.0,23.0,0.0,55.0,98.0,69.0,658.0,48.0,59.0,354.0,81.0,86.0,43.0,28.0,0.0
42101024900,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,7.0,61.0,89.0,39.0,48.0,500.0,85.0,174.0,318.0,106.0,190.0,64.0,0.0,0.0
42101025800,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,18.0,12.0,21.0,294.0,21.0,68.0,256.0,133.0,221.0,134.0,11.0,48.0
42101026500,72.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,0.0,87.0,34.0,69.0,85.0,65.0,1211.0,340.0,223.0,480.0,147.0,316.0,156.0,0.0,0.0
42101026700,32.0,0.0,0.0,28.0,0.0,13.0,0.0,15.0,0.0,0.0,111.0,11.0,119.0,319.0,210.0,1299.0,69.0,212.0,985.0,164.0,322.0,241.0,12.0,0.0
42101034000,63.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,1.0,9.0,22.0,13.0,67.0,691.0,47.0,224.0,202.0,110.0,300.0,172.0,31.0,6.0
42101026800,29.0,0.0,0.0,0.0,0.0,22.0,0.0,6.0,19.0,6.0,29.0,67.0,65.0,214.0,46.0,1021.0,133.0,183.0,584.0,234.0,429.0,289.0,34.0,29.0
42101031900,108.0,15.0,0.0,0.0,15.0,92.0,0.0,0.0,0.0,49.0,120.0,22.0,153.0,174.0,96.0,1108.0,174.0,217.0,398.0,250.0,367.0,72.0,0.0,1.0
42101033000,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,160.0,310.0,103.0,1663.0,286.0,263.0,670.0,255.0,512.0,100.0,49.0,0.0
42101034600,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,0.0,39.0,73.0,29.0,512.0,115.0,182.0,181.0,241.0,406.0,152.0,27.0,60.0
42101034801,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,40.0,22.0,46.0,74.0,106.0,1612.0,143.0,217.0,420.0,260.0,279.0,68.0,11.0,8.0
42101006100,45.0,0.0,12.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,44.0,84.0,779.0,79.0,147.0,318.0,65.0,268.0,91.0,10.0,0.0
42101008400,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,19.0,0.0,115.0,61.0,98.0,1024.0,82.0,138.0,452.0,281.0,346.0,127.0,41.0,7.0
42101009000,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,16.0,37.0,16.0,348.0,146.0,28.0,63.0
42101010200,9.0,0.0,0.0,21.0,0.0,25.0,0.0,0.0,0.0,19.0,10.0,44.0,138.0,146.0,57.0,620.0,73.0,222.0,388.0,49.0,99.0,129.0,0.0,30.0
42101010900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,31.0,10.0,33.0,98.0,45.0,349.0,54.0,63.0,224.0,105.0,127.0,89.0,7.0,6.0
42101014200,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,0.0,11.0,57.0,486.0,40.0,32.0,392.0,173.0,1438.0,474.0,282.0,150.0
42101016100,165.0,0.0,0.0,12.0,0.0,14.0,0.0,18.0,42.0,71.0,211.0,25.0,208.0,352.0,119.0,1141.0,223.0,77.0,317.0,152.0,801.0,326.0,42.0,26.0
42101016901,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,35.0,97.0,84.0,0.0,969.0,133.0,84.0,354.0,90.0,174.0,21.0,0.0,0.0
42101017400,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,25.0,40.0,157.0,41.0,684.0,98.0,63.0,159.0,122.0,50.0,8.0,0.0,0.0
42101025900,20.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,98.0,90.0,65.0,14.0,1170.0,60.0,72.0,689.0,422.0,443.0,276.0,38.0,0.0
42101029000,189.0,0.0,0.0,0.0,0.0,0.0,28.0,124.0,109.0,307.0,0.0,289.0,233.0,200.0,87.0,1099.0,149.0,125.0,290.0,201.0,359.0,168.0,0.0,0.0
42101030100,47.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,19.0,99.0,142.0,96.0,66.0,1174.0,105.0,210.0,495.0,118.0,335.0,128.0,90.0,6.0
42101013700,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,260.0,30.0,968.0,141.0,79.0,494.0,157.0,506.0,362.0,87.0,38.0
42101011500,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,72.0,30.0,928.0,104.0,136.0,507.0,378.0,527.0,171.0,22.0,26.0
42101012000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,62.0,24.0,21.0,168.0,28.0,61.0,212.0,50.0,220.0,153.0,30.0,29.0
42101012100,12.0,0.0,0.0,0.0,2.0,3.0,0.0,22.0,22.0,5.0,50.0,30.0,41.0,77.0,60.0,564.0,156.0,121.0,379.0,193.0,374.0,242.0,48.0,17.0
42101016600,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,122.0,66.0,380.0,129.0,78.0,204.0,84.0,28.0,24.0,0.0,0.0
42101017602,93.0,0.0,0.0,12.0,12.0,0.0,137.0,0.0,61.0,99.0,142.0,172.0,288.0,122.0,160.0,511.0,76.0,0.0,229.0,43.0,64.0,7.0,6.0,0.0
42101017300,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,76.0,6.0,36.0,160.0,45.0,719.0,49.0,116.0,248.0,45.0,148.0,95.0,0.0,0.0
42101017500,255.0,0.0,0.0,0.0,38.0,34.0,62.0,31.0,101.0,56.0,22.0,256.0,149.0,603.0,188.0,1290.0,241.0,173.0,391.0,89.0,36.0,0.0,0.0,32.0
42101025300,17.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,12.0,0.0,13.0,84.0,92.0,80.0,1025.0,125.0,149.0,452.0,239.0,323.0,193.0,37.0,30.0
42101023800,11.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,45.0,73.0,64.0,861.0,116.0,143.0,463.0,112.0,621.0,481.0,173.0,54.0
42101025200,6.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,77.0,0.0,22.0,162.0,309.0,241.0,166.0,1228.0,189.0,357.0,729.0,296.0,566.0,246.0,43.0,28.0
42101026200,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,55.0,60.0,60.0,1021.0,204.0,183.0,543.0,313.0,456.0,166.0,19.0,34.0
42101027300,284.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,29.0,8.0,24.0,132.0,36.0,226.0,56.0,1738.0,280.0,159.0,625.0,297.0,251.0,25.0,51.0,30.0
42101028400,2.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,38.0,40.0,127.0,240.0,73.0,806.0,174.0,159.0,390.0,225.0,236.0,52.0,32.0,0.0
42101028600,191.0,0.0,0.0,0.0,12.0,43.0,50.0,63.0,43.0,15.0,56.0,20.0,18.0,339.0,181.0,1342.0,205.0,151.0,209.0,207.0,271.0,118.0,0.0,0.0
42101000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,28.0,0.0,0.0,0.0,220.0,18.0,67.0,205.0,91.0,1692.0,603.0,347.0,261.0
42101001300,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,25.0,129.0,78.0,16.0,647.0,15.0,35.0,260.0,144.0,1624.0,952.0,594.0,470.0
42101030700,108.0,0.0,0.0,0.0,10.0,0.0,0.0,29.0,0.0,0.0,58.0,50.0,25.0,28.0,79.0,901.0,73.0,183.0,373.0,185.0,337.0,144.0,38.0,32.0
42101031200,94.0,0.0,0.0,0.0,0.0,32.0,0.0,26.0,17.0,53.0,58.0,0.0,103.0,275.0,83.0,935.0,167.0,190.0,504.0,199.0,273.0,58.0,0.0,8.0
42101023100,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,67.0,0.0,34.0,33.0,17.0,354.0,201.0,125.0,89.0
42101023500,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,14.0,4.0,96.0,10.0,62.0,93.0,48.0,316.0,179.0,74.0,94.0
42101004001,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,12.0,100.0,254.0,135.0,59.0,948.0,79.0,118.0,284.0,129.0,633.0,221.0,193.0,61.0
42101001900,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,25.0,19.0,383.0,41.0,119.0,321.0,59.0,960.0,419.0,276.0,190.0
42101003100,29.0,0.0,15.0,0.0,0.0,25.0,0.0,45.0,17.0,0.0,0.0,37.0,74.0,130.0,38.0,1080.0,68.0,190.0,465.0,229.0,380.0,261.0,47.0,52.0
42101003200,23.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,56.0,73.0,154.0,69.0,996.0,210.0,41.0,319.0,167.0,213.0,90.0,0.0,9.0
42101006200,56.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,24.0,13.0,96.0,85.0,47.0,827.0,151.0,114.0,568.0,188.0,235.0,40.0,59.0,49.0
42101007200,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,118.0,41.0,137.0,92.0,122.0,1257.0,157.0,222.0,448.0,99.0,241.0,49.0,0.0,30.0
42101007400,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,9.0,71.0,69.0,225.0,88.0,832.0,189.0,173.0,579.0,158.0,253.0,136.0,0.0,30.0
42101009200,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,17.0,26.0,40.0,224.0,122.0,53.0,320.0,57.0,158.0,523.0,93.0,235.0,140.0,23.0,0.0
42101016400,71.0,0.0,0.0,0.0,18.0,0.0,57.0,62.0,92.0,24.0,122.0,88.0,190.0,111.0,260.0,862.0,136.0,148.0,425.0,96.0,118.0,1.0,20.0,0.0
42101031502,65.0,0.0,0.0,4.0,0.0,0.0,24.0,19.0,39.0,0.0,28.0,76.0,49.0,112.0,152.0,896.0,136.0,265.0,396.0,155.0,301.0,80.0,41.0,29.0
42101031401,243.0,0.0,0.0,0.0,50.0,101.0,0.0,118.0,54.0,33.0,122.0,168.0,199.0,235.0,226.0,1349.0,115.0,265.0,486.0,214.0,386.0,123.0,0.0,17.0
42101033701,138.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,57.0,0.0,0.0,102.0,130.0,77.0,200.0,1542.0,89.0,187.0,318.0,115.0,856.0,224.0,132.0,18.0
42101033702,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,58.0,197.0,123.0,72.0,1368.0,210.0,98.0,320.0,193.0,785.0,207.0,16.0,0.0
42101027901,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,27.0,73.0,113.0,101.0,999.0,87.0,161.0,493.0,259.0,263.0,105.0,0.0,59.0
42101031402,308.0,0.0,0.0,9.0,35.0,46.0,0.0,18.0,77.0,50.0,201.0,164.0,79.0,262.0,181.0,1179.0,93.0,194.0,218.0,146.0,303.0,103.0,0.0,16.0
42101016701,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,58.0,89.0,112.0,130.0,928.0,166.0,58.0,287.0,30.0,83.0,16.0,9.0,0.0
42101016702,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,28.0,101.0,87.0,15.0,803.0,86.0,111.0,310.0,67.0,41.0,5.0,0.0,0.0
