fips,in_labor_force,not_in_labor_force,employed,unemployed,in_armed_forces
1,162184325.0,93613367.0,150599165.0,10560305.0,1024855.0
42,6523666.0,3896305.0,6096977.0,422016.0,4673.0
42101,751072.0,508837.0,665765.0,85059.0,248.0
42101024400,1224.0,1209.0,987.0,237.0,0.0
42101035900,2742.0,1849.0,2591.0,151.0,0.0
42101036201,2584.0,1467.0,2448.0,136.0,0.0
42101036202,3036.0,1805.0,2879.0,157.0,0.0
42101010600,527.0,727.0,428.0,99.0,0.0
42101024600,1070.0,1013.0,940.0,130.0,0.0
42101024900,1106.0,1008.0,949.0,157.0,0.0
42101025800,814.0,577.0,757.0,57.0,0.0
42101026500,2481.0,2089.0,2228.0,253.0,0.0
42101026700,3132.0,2102.0,2488.0,644.0,0.0
42101034000,1391.0,867.0,1293.0,98.0,0.0
42101026800,2193.0,1638.0,2108.0,85.0,0.0
42101031900,2807.0,1313.0,2553.0,254.0,0.0
42101033000,3084.0,2287.0,2571.0,513.0,0.0
42101034600,1435.0,887.0,1352.0,83.0,0.0
42101034801,2109.0,1645.0,2019.0,90.0,0.0
42101006100,1457.0,949.0,1280.0,177.0,0.0
42101008400,1800.0,1659.0,1543.0,257.0,0.0
42101009000,2128.0,3822.0,1870.0,243.0,15.0
42101010200,1155.0,1305.0,1022.0,133.0,0.0
42101010900,1030.0,978.0,919.0,111.0,0.0
42101014200,3436.0,449.0,3393.0,43.0,0.0
42101016100,3362.0,1451.0,2858.0,504.0,0.0
42101016901,1181.0,1497.0,877.0,304.0,0.0
42101017400,721.0,1061.0,510.0,211.0,0.0
42101025900,2574.0,1570.0,2124.0,450.0,0.0
42101029000,3267.0,1881.0,2950.0,317.0,0.0
42101030100,2425.0,1659.0,2015.0,393.0,17.0
42101013700,2190.0,1681.0,2008.0,182.0,0.0
42101011500,2493.0,1035.0,2167.0,326.0,0.0
42101012000,879.0,741.0,770.0,109.0,0.0
42101012100,1215.0,1468.0,1111.0,104.0,0.0
42101016600,787.0,800.0,647.0,140.0,0.0
42101017602,1389.0,1585.0,1151.0,238.0,0.0
42101017300,975.0,1190.0,934.0,41.0,0.0
42101017500,2240.0,2623.0,1657.0,583.0,0.0
42101025300,2201.0,1241.0,1848.0,348.0,5.0
42101023800,2106.0,1341.0,1945.0,161.0,0.0
42101025200,2757.0,2877.0,2428.0,329.0,0.0
42101026200,1983.0,1483.0,1861.0,122.0,0.0
42101027300,3055.0,1884.0,2607.0,448.0,0.0
42101028400,1943.0,1383.0,1235.0,708.0,0.0
