fips,not_hispanic_or_latino,hispanic_or_latino
1,264493836.0,56510571.0
42,11915672.0,874833.0
42101,1347880.0,221777.0
42101024400,2688.0,305.0
42101035900,5008.0,318.0
42101036201,4486.0,296.0
42101036202,5269.0,676.0
42101010600,1694.0,38.0
42101024600,2947.0,33.0
42101024900,2712.0,3.0
42101025800,1613.0,7.0
42101026500,5557.0,96.0
42101026700,6668.0,12.0
42101034000,2494.0,456.0
42101026800,4565.0,280.0
42101031900,3626.0,1510.0
42101033000,6009.0,1345.0
42101034600,2329.0,388.0
42101034801,4147.0,261.0
42101006100,2946.0,33.0
42101008400,4582.0,145.0
42101009000,5648.0,424.0
42101010200,3252.0,59.0
42101010900,2723.0,113.0
42101014200,3713.0,674.0
42101016100,4532.0,1495.0
42101016901,3201.0,4.0
42101017400,1892.0,215.0
42101025900,4764.0,48.0
42101029000,3428.0,3944.0
42101030100,4383.0,1347.0
42101013700,4534.0,121.0
42101011500,4617.0,69.0
42101012000,1768.0,103.0
42101012100,3078.0,139.0
42101016600,1461.0,221.0
42101017602,693.0,3660.0
42101017300,2438.0,71.0
42101017500,2502.0,4282.0
42101025300,4362.0,127.0
42101023800,3928.0,135.0
42101025200,7068.0,154.0
42101026200,3987.0,27.0
42101027300,5425.0,866.0
42101028400,3797.0,612.0
42101028600,4551.0,2123.0
42101000100,3890.0,265.0
42101001300,6210.0,272.0
42101030700,3754.0,623.0
42101031200,4352.0,855.0
42101023100,1272.0,51.0
42101023500,1280.0,2.0
42101004001,3436.0,599.0
42101001900,3095.0,286.0
42101003100,4005.0,314.0
42101003200,3779.0,285.0
42101006200,4649.0,149.0
42101007200,4748.0,110.0
42101007400,4695.0,91.0
42101009200,3506.0,84.0
42101016400,2354.0,2286.0
42101031502,3915.0,368.0
42101031401,5683.0,1934.0
42101033701,5159.0,1004.0
42101033702,5053.0,233.0
42101027901,4242.0,48.0
42101031402,4557.0,1423.0
42101016701,2800.0,36.0
42101016702,2570.0,72.0
42101027902,4113.0,133.0
42101008101,2864.0,20.0
42101980300,0.0,0.0
42101036900,5496.0,244.0
42101037300,5315.0,288.0
42101037200,4217.0,303.0
42101038300,975.0,2371.0
42101039000,6766.0,2700.0
42101037800,2385.0,261.0
42101037700,4699.0,833.0
42101008701,3934.0,422.0
42101008102,5597.0,166.0
42101008602,2359.0,80.0
42101037500,3815.0,385.0
42101980800,0.0,0.0
42101018002,5449.0,587.0
42101008801,2148.0,172.0
42101980100,88.0,10.0
42101007102,4691.0,253.0
42101008802,6036.0,416.0
42101008702,2546.0,224.0
42101012201,3007.0,107.0
42101009801,2301.0,90.0
42101007101,2638.0,0.0
42101002801,2825.0,2007.0
42101980500,0.0,0.0
42101000801,1275.0,132.0
42101001101,3497.0,265.0
42101027402,5550.0,1100.0
42101008601,2802.0,231.0
42101036502,3735.0,291.0
42101036700,2653.0,382.0
42101037600,2750.0,301.0
42101038600,1326.0,64.0
42101038900,3404.0,106.0
42101038500,1844.0,58.0
42101038700,2489.0,106.0
42101038800,3673.0,110.0
42101980000,901.0,112.0
42101010000,4649.0,95.0
42101010100,7193.0,538.0
42101010700,3485.0,42.0
42101013300,3038.0,316.0
42101013500,3404.0,490.0
42101014300,1583.0,135.0
42101014600,3954.0,211.0
42101016902,4712.0,242.0
42101017100,4229.0,109.0
42101000700,3158.0,293.0
42101001800,3197.0,75.0
42101002100,2189.0,91.0
42101025700,3380.0,564.0
42101021100,2264.0,209.0
42101026100,3609.0,62.0
42101027200,4416.0,326.0
42101027500,4390.0,556.0
42101028000,3892.0,55.0
42101029400,2072.0,1216.0
42101030000,4966.0,1634.0
42101018800,4074.0,4817.0
42101019100,3423.0,5289.0
42101019200,2579.0,6320.0
42101001700,2737.0,219.0
42101002500,3591.0,364.0
42101003300,6018.0,156.0
42101004002,4499.0,536.0
42101004201,5139.0,249.0
42101005600,925.0,45.0
42101006700,6584.0,151.0
42101007000,3169.0,9.0
42101008000,3858.0,297.0
42101028800,1772.0,2379.0
42101029800,3409.0,1697.0
42101030900,3200.0,1239.0
42101032000,5222.0,1659.0
42101034200,3452.0,202.0
42101001500,2810.0,119.0
42101002900,3240.0,832.0
42101003702,3774.0,452.0
42101014000,3151.0,203.0
42101014100,2423.0,272.0
42101014400,2663.0,1408.0
42101015200,5785.0,76.0
42101015300,3525.0,173.0
42101015700,1563.0,1175.0
42101016000,5708.0,523.0
42101016800,3513.0,8.0
42101020200,3979.0,179.0
42101020300,2580.0,206.0
42101020800,2149.0,77.0
42101020900,2422.0,137.0
42101020700,5487.0,362.0
42101018400,2141.0,100.0
42101014800,957.0,10.0
42101014900,2925.0,190.0
42101011300,3311.0,0.0
42101011400,7033.0,259.0
42101011700,1934.0,64.0
42101013100,1641.0,23.0
42101013800,1741.0,99.0
42101016200,717.0,1795.0
42101017900,4019.0,2363.0
42101018300,3897.0,88.0
42101019000,2780.0,5440.0
42101020600,1487.0,90.0
42101021500,3761.0,94.0
42101021600,2283.0,85.0
42101022000,1546.0,77.0
42101000200,2565.0,118.0
42101000600,1075.0,132.0
42101002200,2286.0,99.0
42101002300,2448.0,482.0
42101004101,5085.0,1083.0
42101004202,5250.0,197.0
42101005500,6272.0,592.0
42101006900,2361.0,196.0
42101007700,1901.0,119.0
42101011000,3816.0,72.0
42101011200,5756.0,203.0
42101004102,7889.0,1620.0
42101015800,5978.0,229.0
42101009400,4086.0,71.0
42101009500,2980.0,155.0
42101036301,3516.0,99.0
42101035302,4131.0,209.0
42101035500,6786.0,407.0
42101036203,4931.0,290.0
42101036400,883.0,86.0
42101020500,2467.0,38.0
42101021800,4671.0,287.0
42101021900,1379.0,49.0
42101025500,2537.0,271.0
42101025600,2582.0,52.0
42101026301,3969.0,0.0
42101027000,2830.0,10.0
42101024700,4134.0,67.0
42101003800,3645.0,184.0
42101012500,5116.0,171.0
42101021000,4860.0,182.0
42101034702,3565.0,249.0
42101026600,6646.0,192.0
42101010400,4144.0,88.0
42101013200,2351.0,258.0
42101017601,550.0,4956.0
42101003600,6622.0,198.0
42101017000,2960.0,145.0
42101024300,3421.0,51.0
42101027600,3510.0,10.0
42101001600,2163.0,98.0
42101003902,5569.0,81.0
42101007800,4300.0,288.0
42101009300,4257.0,0.0
42101032100,2860.0,1288.0
42101021400,4033.0,316.0
42101034900,4579.0,884.0
42101026900,2021.0,205.0
42101029200,2935.0,1913.0
42101031300,5627.0,1860.0
42101032500,5278.0,801.0
42101001400,4102.0,67.0
42101036302,3170.0,347.0
42101020102,2718.0,87.0
42101031101,4021.0,1744.0
42101031102,3421.0,945.0
42101019502,900.0,2629.0
42101019501,441.0,4263.0
42101028901,1299.0,2879.0
42101028902,2424.0,4308.0
42101033101,4354.0,363.0
