fips,male_35_plus,male_15_to_34,male_1_to_14,male_did_not_work,female_35_plus,female_15_to_34,female_1_to_14,female_did_not_work
1,69005997.0,11103656.0,2687465.0,20853070.0,52209557.0,18254734.0,4475115.0,29475709.0
42,2765103.0,412255.0,117604.0,810540.0,2101586.0,754328.0,205227.0,1072306.0
42101,279679.0,53380.0,13009.0,158751.0,265159.0,81715.0,19319.0,185890.0
42101024400,314.0,67.0,0.0,511.0,419.0,212.0,0.0,597.0
42101035900,1199.0,117.0,19.0,143.0,930.0,255.0,109.0,428.0
42101036201,1164.0,128.0,29.0,339.0,918.0,262.0,22.0,382.0
42101036202,1316.0,158.0,30.0,295.0,977.0,232.0,121.0,609.0
42101010600,194.0,46.0,17.0,260.0,185.0,42.0,0.0,272.0
42101024600,147.0,85.0,0.0,472.0,413.0,278.0,37.0,366.0
42101024900,203.0,111.0,36.0,282.0,508.0,73.0,53.0,423.0
42101025800,286.0,11.0,14.0,60.0,338.0,59.0,26.0,95.0
42101026500,667.0,346.0,28.0,728.0,950.0,150.0,207.0,668.0
42101026700,786.0,62.0,74.0,808.0,1123.0,384.0,91.0,773.0
42101034000,636.0,71.0,8.0,190.0,475.0,175.0,17.0,158.0
42101026800,802.0,77.0,0.0,360.0,889.0,270.0,40.0,603.0
42101031900,1046.0,195.0,15.0,614.0,1025.0,274.0,41.0,441.0
42101033000,916.0,65.0,197.0,864.0,1331.0,279.0,31.0,968.0
42101034600,572.0,115.0,16.0,123.0,572.0,143.0,18.0,306.0
42101034801,913.0,135.0,27.0,307.0,625.0,213.0,17.0,472.0
42101006100,456.0,94.0,32.0,308.0,580.0,170.0,13.0,287.0
42101008400,544.0,64.0,10.0,604.0,774.0,239.0,48.0,652.0
42101009000,862.0,582.0,333.0,1342.0,567.0,650.0,435.0,1125.0
42101010200,411.0,146.0,0.0,267.0,344.0,118.0,28.0,673.0
42101010900,268.0,90.0,17.0,401.0,337.0,166.0,56.0,391.0
42101014200,1676.0,70.0,9.0,198.0,1454.0,212.0,32.0,116.0
42101016100,1363.0,260.0,32.0,693.0,1183.0,223.0,90.0,629.0
42101016901,368.0,108.0,61.0,578.0,496.0,92.0,0.0,710.0
42101017400,174.0,75.0,0.0,440.0,238.0,177.0,0.0,396.0
42101025900,762.0,108.0,12.0,659.0,1038.0,270.0,49.0,547.0
42101029000,1021.0,630.0,60.0,925.0,1161.0,157.0,73.0,709.0
42101030100,612.0,89.0,7.0,993.0,1142.0,186.0,134.0,619.0
42101013700,945.0,308.0,102.0,289.0,713.0,154.0,18.0,839.0
42101011500,778.0,139.0,0.0,469.0,1193.0,100.0,21.0,363.0
42101012000,317.0,64.0,34.0,307.0,296.0,118.0,65.0,210.0
42101012100,334.0,11.0,26.0,208.0,670.0,114.0,37.0,478.0
42101016600,232.0,125.0,19.0,266.0,257.0,122.0,32.0,338.0
42101017602,582.0,149.0,0.0,691.0,261.0,227.0,0.0,815.0
42101017300,366.0,67.0,71.0,412.0,379.0,105.0,0.0,377.0
42101017500,968.0,93.0,0.0,1013.0,516.0,257.0,16.0,1339.0
42101025300,676.0,132.0,27.0,549.0,844.0,314.0,94.0,383.0
42101023800,712.0,169.0,30.0,278.0,751.0,253.0,51.0,385.0
42101025200,841.0,357.0,0.0,964.0,1093.0,292.0,126.0,835.0
42101026200,745.0,88.0,53.0,233.0,705.0,247.0,19.0,279.0
