fips,lowest_quintile,second_quintile,third_quintile,fourth_quintile,highest_quintile
1,12730.0,34103.0,58082.0,92190.0,209307.0
42,12747.0,33803.0,57360.0,89888.0,197163.0
42101,6210.0,21609.0,40840.0,69193.0,164734.0
42101024400,2925.0,13527.0,26171.0,47404.0,110610.0
42101035900,12077.0,34268.0,59158.0,91089.0,173460.0
42101036201,18964.0,39271.0,63087.0,85192.0,163891.0
42101036202,15483.0,32596.0,48738.0,80267.0,178137.0
42101010600,1468.0,7296.0,15586.0,33611.0,87160.0
42101024600,3813.0,10978.0,21175.0,35940.0,59537.0
42101024900,4013.0,15022.0,28086.0,44336.0,79150.0
42101025800,12675.0,34970.0,54472.0,77208.0,126025.0
42101026500,7369.0,23304.0,40557.0,62398.0,107533.0
42101026700,4496.0,18486.0,31748.0,52172.0,151962.0
42101034000,19094.0,41412.0,71724.0,105672.0,143825.0
42101026800,6919.0,20965.0,33495.0,53849.0,130642.0
42101031900,8760.0,24375.0,41099.0,59638.0,118661.0
42101033000,8958.0,22771.0,34853.0,50453.0,104597.0
42101034600,10314.0,25519.0,43673.0,63175.0,112571.0
42101034801,11441.0,32042.0,50679.0,73072.0,144860.0
42101006100,4164.0,15238.0,29781.0,53271.0,108040.0
42101008400,5591.0,18493.0,38122.0,53407.0,83131.0
42101009000,28.0,5604.0,19337.0,41932.0,126384.0
42101010200,2749.0,10137.0,18895.0,34918.0,79356.0
42101010900,2168.0,11705.0,22094.0,39837.0,107333.0
42101014200,23720.0,60793.0,91531.0,136460.0,270419.0
42101016100,5113.0,25473.0,54778.0,86031.0,170786.0
42101016901,2696.0,9735.0,23132.0,41697.0,92289.0
42101017400,929.0,10769.0,21214.0,34304.0,71978.0
42101025900,10701.0,26307.0,46226.0,74385.0,128347.0
42101029000,3835.0,16292.0,34373.0,49563.0,85478.0
42101030100,4445.0,16560.0,31994.0,46943.0,100057.0
42101013700,4814.0,17050.0,34331.0,70212.0,163765.0
42101011500,14272.0,33992.0,51450.0,75967.0,131303.0
42101012000,10477.0,35273.0,55449.0,87733.0,148241.0
42101012100,6065.0,17174.0,37301.0,57236.0,123383.0
42101016600,10.0,5937.0,12665.0,33068.0,71675.0
42101017602,1193.0,10282.0,18816.0,28980.0,61064.0
42101017300,1395.0,10470.0,20000.0,32399.0,115368.0
42101017500,2071.0,9469.0,15495.0,26486.0,73724.0
42101025300,10528.0,24766.0,40927.0,59847.0,125873.0
42101023800,9757.0,31589.0,57235.0,97968.0,147156.0
42101025200,8696.0,19590.0,34794.0,47452.0,93355.0
42101026200,13098.0,29346.0,47478.0,68541.0,136645.0
42101027300,2836.0,19097.0,37359.0,62793.0,121646.0
42101028400,2489.0,14704.0,26751.0,54761.0,124153.0
42101028600,167.0,9854.0,23139.0,38307.0,82576.0
42101000100,25334.0,64625.0,105796.0,136815.0,290973.0
42101001300,16962.0,56525.0,102469.0,142637.0,319227.0
42101030700,9028.0,21431.0,41871.0,62772.0,126254.0
42101031200,6198.0,19649.0,34330.0,53200.0,121566.0
42101023100,42594.0,101226.0,147880.0,218371.0,500671.0
42101023500,12698.0,33645.0,67847.0,112121.0,331489.0
42101004001,7538.0,27974.0,50189.0,82371.0,159087.0
42101001900,18090.0,46094.0,79960.0,125731.0,260049.0
42101003100,6951.0,19223.0,30855.0,49258.0,123341.0
42101003200,6877.0,14577.0,25114.0,44515.0,95430.0
42101006200,5245.0,16466.0,28699.0,46706.0,102891.0
42101007200,7913.0,17672.0,28493.0,46041.0,84036.0
42101007400,2534.0,11838.0,23694.0,43320.0,142496.0
42101009200,1721.0,9200.0,21067.0,44757.0,92034.0
42101016400,1351.0,8283.0,14199.0,30307.0,93002.0
42101031502,10955.0,26201.0,41817.0,63197.0,114857.0
42101031401,9880.0,22897.0,38956.0,55808.0,114245.0
42101033701,6848.0,20104.0,33008.0,52512.0,112216.0
42101033702,13276.0,34226.0,57034.0,83785.0,166305.0
42101027901,6309.0,15834.0,37231.0,56549.0,108347.0
42101031402,9550.0,22966.0,35072.0,55100.0,109497.0
42101016701,15.0,8149.0,17871.0,41752.0,91890.0
42101016702,0.0,4788.0,15523.0,34841.0,65855.0
42101027902,4853.0,15651.0,31221.0,52969.0,96698.0
42101008101,5168.0,12040.0,20456.0,43229.0,80526.0
42101980300,,,,,
42101036900,133.0,13917.0,45404.0,82904.0,320583.0
42101037300,24406.0,50186.0,79004.0,116585.0,289429.0
42101037200,15464.0,33178.0,61997.0,92602.0,205915.0
42101038300,1626.0,10853.0,18667.0,35681.0,63361.0
42101039000,4622.0,16799.0,31527.0,54610.0,108424.0
42101037800,11047.0,26449.0,50037.0,85854.0,207168.0
42101037700,241.0,6751.0,20231.0,38424.0,72471.0
