fips,owner_total,owner_2015_plus,owner_2010_to_2014,owner_2000_to_2009,owner_1990_to_1999,owner_1980_to_1989,owner_1979_or_earlier,renter_total,renter_2015_plus,renter_2010_to_2014,renter_2000_to_2009,renter_1990_to_1999,renter_1980_to_1989,renter_1979_or_earlier
1,75833135.0,3902416.0,14715573.0,26166801.0,14860069.0,7512105.0,8676171.0,42992786.0,8640656.0,22911504.0,8237880.0,1915541.0,678428.0,608777.0
42,3456360.0,131222.0,537424.0,1080789.0,685900.0,417963.0,603062.0,1551082.0,292693.0,769174.0,346334.0,80936.0,29182.0,32763.0
42101,308695.0,11903.0,45955.0,94579.0,58390.0,37061.0,60807.0,282585.0,52183.0,141036.0,63179.0,15603.0,5060.0,5524.0
42101024400,467.0,0.0,49.0,81.0,50.0,160.0,127.0,633.0,36.0,363.0,187.0,29.0,0.0,18.0
42101035900,1499.0,136.0,239.0,463.0,298.0,132.0,231.0,671.0,25.0,236.0,178.0,215.0,17.0,0.0
42101036201,1290.0,52.0,151.0,422.0,186.0,219.0,260.0,628.0,135.0,301.0,138.0,16.0,30.0,8.0
42101036202,1912.0,54.0,283.0,482.0,433.0,178.0,482.0,437.0,70.0,283.0,55.0,15.0,14.0,0.0
42101010600,206.0,7.0,47.0,42.0,39.0,25.0,46.0,427.0,28.0,149.0,245.0,5.0,0.0,0.0
42101024600,286.0,0.0,35.0,81.0,10.0,49.0,111.0,728.0,46.0,334.0,229.0,77.0,12.0,30.0
42101024900,765.0,0.0,155.0,89.0,149.0,111.0,261.0,353.0,50.0,98.0,155.0,21.0,0.0,29.0
42101025800,536.0,21.0,58.0,113.0,93.0,95.0,156.0,209.0,7.0,91.0,71.0,11.0,5.0,24.0
42101026500,1115.0,12.0,54.0,285.0,125.0,219.0,420.0,567.0,192.0,211.0,53.0,91.0,14.0,6.0
42101026700,1584.0,0.0,159.0,277.0,325.0,218.0,605.0,954.0,320.0,355.0,129.0,100.0,34.0,16.0
42101034000,934.0,40.0,84.0,324.0,175.0,145.0,166.0,102.0,18.0,44.0,40.0,0.0,0.0,0.0
42101026800,656.0,64.0,65.0,215.0,82.0,125.0,105.0,1259.0,187.0,653.0,311.0,108.0,0.0,0.0
42101031900,1016.0,42.0,190.0,287.0,166.0,127.0,204.0,702.0,68.0,390.0,212.0,27.0,5.0,0.0
42101033000,1559.0,52.0,289.0,475.0,185.0,179.0,379.0,1106.0,146.0,656.0,245.0,59.0,0.0,0.0
42101034600,271.0,29.0,57.0,168.0,17.0,0.0,0.0,942.0,135.0,523.0,257.0,9.0,10.0,8.0
42101034801,866.0,37.0,172.0,274.0,143.0,79.0,161.0,989.0,72.0,309.0,207.0,139.0,106.0,156.0
42101006100,806.0,6.0,147.0,248.0,206.0,54.0,145.0,311.0,20.0,237.0,32.0,9.0,13.0,0.0
42101008400,831.0,0.0,95.0,131.0,248.0,105.0,252.0,807.0,131.0,378.0,246.0,0.0,43.0,9.0
42101009000,111.0,8.0,29.0,0.0,27.0,27.0,20.0,843.0,304.0,498.0,23.0,0.0,18.0,0.0
42101010200,550.0,0.0,85.0,138.0,139.0,100.0,88.0,744.0,104.0,327.0,199.0,75.0,19.0,20.0
42101010900,255.0,0.0,23.0,72.0,37.0,49.0,74.0,674.0,108.0,405.0,89.0,40.0,22.0,10.0
42101014200,821.0,40.0,205.0,390.0,51.0,99.0,36.0,1303.0,478.0,781.0,44.0,0.0,0.0,0.0
42101016100,1157.0,128.0,210.0,309.0,263.0,155.0,92.0,923.0,204.0,491.0,166.0,62.0,0.0,0.0
42101016901,691.0,14.0,58.0,181.0,165.0,179.0,94.0,608.0,95.0,245.0,178.0,52.0,32.0,6.0
42101017400,376.0,10.0,17.0,58.0,97.0,29.0,165.0,471.0,90.0,129.0,144.0,48.0,20.0,40.0
42101025900,1309.0,0.0,179.0,301.0,206.0,145.0,478.0,724.0,146.0,371.0,139.0,19.0,17.0,32.0
42101029000,1018.0,26.0,156.0,288.0,486.0,25.0,37.0,1116.0,184.0,602.0,330.0,0.0,0.0,0.0
42101030100,753.0,0.0,26.0,244.0,292.0,105.0,86.0,1435.0,277.0,861.0,242.0,55.0,0.0,0.0
42101013700,934.0,91.0,217.0,242.0,90.0,20.0,274.0,1129.0,168.0,637.0,242.0,17.0,0.0,65.0
42101011500,1247.0,59.0,176.0,447.0,472.0,11.0,82.0,428.0,126.0,144.0,111.0,47.0,0.0,0.0
42101012000,314.0,29.0,33.0,67.0,70.0,36.0,79.0,350.0,36.0,222.0,52.0,13.0,21.0,6.0
42101012100,460.0,21.0,42.0,96.0,135.0,62.0,104.0,913.0,192.0,505.0,148.0,17.0,35.0,16.0
42101016600,181.0,0.0,0.0,16.0,69.0,41.0,55.0,494.0,87.0,247.0,135.0,6.0,8.0,11.0
42101017602,577.0,15.0,61.0,167.0,193.0,102.0,39.0,771.0,175.0,353.0,201.0,42.0,0.0,0.0
42101017300,556.0,0.0,76.0,102.0,58.0,179.0,141.0,567.0,51.0,190.0,315.0,0.0,0.0,11.0
42101017500,981.0,13.0,116.0,134.0,218.0,183.0,317.0,1445.0,233.0,730.0,319.0,108.0,40.0,15.0
42101025300,986.0,11.0,109.0,247.0,181.0,178.0,260.0,588.0,99.0,341.0,101.0,21.0,8.0,18.0
42101023800,759.0,45.0,116.0,158.0,149.0,118.0,173.0,1020.0,233.0,553.0,201.0,0.0,18.0,15.0
42101025200,1271.0,161.0,83.0,293.0,233.0,93.0,408.0,1351.0,294.0,671.0,257.0,87.0,18.0,24.0
42101026200,1350.0,17.0,75.0,221.0,138.0,267.0,632.0,336.0,0.0,247.0,61.0,9.0,0.0,19.0
42101027300,1247.0,0.0,153.0,491.0,415.0,159.0,29.0,866.0,82.0,324.0,376.0,52.0,32.0,0.0
42101028400,852.0,43.0,35.0,181.0,179.0,152.0,262.0,415.0,50.0,140.0,218.0,7.0,0.0,0.0
42101028600,934.0,13.0,55.0,364.0,255.0,169.0,78.0,1336.0,31.0,747.0,440.0,43.0,75.0,0.0
42101000100,713.0,117.0,269.0,227.0,100.0,0.0,0.0,1654.0,493.0,1073.0,62.0,26.0,0.0,0.0
42101001300,1628.0,175.0,585.0,547.0,129.0,79.0,113.0,1106.0,253.0,563.0,215.0,18.0,0.0,57.0
42101030700,558.0,11.0,92.0,214.0,92.0,79.0,70.0,884.0,204.0,429.0,177.0,49.0,18.0,7.0
42101031200,884.0,25.0,64.0,429.0,179.0,65.0,122.0,731.0,41.0,473.0,192.0,25.0,0.0,0.0
42101023100,283.0,8.0,67.0,101.0,46.0,36.0,25.0,213.0,27.0,120.0,44.0,22.0,0.0,0.0
42101023500,342.0,15.0,75.0,71.0,50.0,39.0,92.0,218.0,16.0,135.0,47.0,7.0,13.0,0.0
42101004001,1223.0,68.0,192.0,404.0,160.0,109.0,290.0,660.0,105.0,353.0,133.0,24.0,0.0,45.0
42101001900,736.0,104.0,277.0,245.0,29.0,41.0,40.0,736.0,185.0,346.0,153.0,33.0,19.0,0.0
42101003100,987.0,55.0,194.0,138.0,111.0,142.0,347.0,937.0,119.0,601.0,158.0,18.0,0.0,41.0
42101003200,775.0,18.0,65.0,108.0,135.0,151.0,298.0,678.0,88.0,397.0,120.0,20.0,9.0,44.0
42101006200,790.0,0.0,44.0,479.0,130.0,52.0,85.0,746.0,206.0,390.0,150.0,0.0,0.0,0.0
42101007200,978.0,0.0,85.0,247.0,95.0,242.0,309.0,823.0,50.0,257.0,427.0,58.0,0.0,31.0
42101007400,781.0,63.0,63.0,108.0,125.0,163.0,259.0,967.0,191.0,412.0,244.0,52.0,0.0,68.0
42101009200,329.0,25.0,34.0,87.0,112.0,25.0,46.0,960.0,151.0,417.0,222.0,101.0,21.0,48.0
42101016400,475.0,0.0,0.0,94.0,124.0,128.0,129.0,1130.0,97.0,396.0,402.0,57.0,49.0,129.0
42101031502,851.0,30.0,165.0,349.0,128.0,74.0,105.0,524.0,14.0,302.0,75.0,63.0,9.0,61.0
42101031401,959.0,45.0,120.0,523.0,128.0,27.0,116.0,1156.0,320.0,616.0,195.0,25.0,0.0,0.0
42101033701,780.0,52.0,123.0,227.0,287.0,37.0,54.0,1404.0,271.0,498.0,369.0,168.0,40.0,58.0
42101033702,1513.0,46.0,262.0,467.0,372.0,108.0,258.0,433.0,54.0,307.0,37.0,26.0,0.0,9.0
42101027901,1022.0,19.0,143.0,167.0,228.0,168.0,297.0,428.0,73.0,175.0,138.0,11.0,20.0,11.0
42101031402,1122.0,68.0,170.0,396.0,233.0,103.0,152.0,701.0,99.0,311.0,241.0,0.0,50.0,0.0
42101016701,623.0,14.0,82.0,146.0,117.0,98.0,166.0,578.0,40.0,265.0,175.0,86.0,12.0,0.0
42101016702,454.0,0.0,0.0,128.0,111.0,72.0,143.0,701.0,83.0,359.0,167.0,33.0,0.0,59.0
42101027902,407.0,6.0,30.0,82.0,29.0,62.0,198.0,503.0,135.0,279.0,68.0,8.0,7.0,6.0
42101008101,447.0,0.0,52.0,70.0,32.0,32.0,261.0,539.0,32.0,292.0,149.0,45.0,0.0,21.0
42101980300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101036900,11.0,4.0,0.0,0.0,0.0,0.0,7.0,661.0,293.0,346.0,15.0,7.0,0.0,0.0
42101037300,1600.0,43.0,349.0,629.0,168.0,102.0,309.0,775.0,224.0,285.0,140.0,46.0,31.0,49.0
42101037200,1467.0,78.0,214.0,502.0,187.0,156.0,330.0,301.0,62.0,150.0,47.0,34.0,8.0,0.0
42101038300,453.0,9.0,24.0,193.0,133.0,94.0,0.0,549.0,30.0,288.0,169.0,46.0,0.0,16.0
42101039000,1657.0,87.0,219.0,672.0,402.0,140.0,137.0,1163.0,124.0,595.0,279.0,151.0,0.0,14.0
42101037800,725.0,65.0,183.0,155.0,172.0,61.0,89.0,296.0,55.0,178.0,42.0,12.0,0.0,9.0
42101037700,314.0,0.0,55.0,136.0,13.0,40.0,70.0,884.0,246.0,367.0,166.0,105.0,0.0,0.0
42101008701,272.0,14.0,16.0,71.0,73.0,52.0,46.0,1557.0,421.0,1002.0,119.0,15.0,0.0,0.0
42101008102,1211.0,17.0,105.0,260.0,218.0,139.0,472.0,621.0,99.0,244.0,102.0,84.0,0.0,92.0
42101008602,280.0,25.0,110.0,21.0,50.0,18.0,56.0,787.0,139.0,480.0,105.0,41.0,13.0,9.0
42101037500,779.0,9.0,129.0,192.0,184.0,116.0,149.0,611.0,116.0,361.0,93.0,22.0,19.0,0.0
42101980800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101018002,1622.0,0.0,159.0,542.0,419.0,147.0,355.0,676.0,46.0,378.0,200.0,16.0,36.0,0.0
42101008801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,95.0,74.0,0.0,0.0,4.0,0.0
42101980100,41.0,0.0,16.0,13.0,0.0,0.0,12.0,12.0,0.0,8.0,4.0,0.0,0.0,0.0
42101007102,1047.0,55.0,48.0,163.0,151.0,298.0,332.0,780.0,93.0,387.0,163.0,52.0,56.0,29.0
42101008802,100.0,9.0,40.0,36.0,0.0,0.0,15.0,1212.0,282.0,822.0,86.0,22.0,0.0,0.0
42101008702,137.0,17.0,11.0,63.0,9.0,25.0,12.0,1120.0,382.0,592.0,127.0,19.0,0.0,0.0
42101012201,14.0,0.0,0.0,14.0,0.0,0.0,0.0,1993.0,354.0,1003.0,336.0,287.0,13.0,0.0
42101009801,571.0,22.0,50.0,256.0,183.0,14.0,46.0,350.0,31.0,179.0,90.0,40.0,5.0,5.0
42101007101,369.0,0.0,29.0,94.0,48.0,62.0,136.0,465.0,100.0,94.0,182.0,0.0,20.0,69.0
42101002801,851.0,84.0,99.0,330.0,159.0,35.0,144.0,726.0,178.0,355.0,153.0,31.0,0.0,9.0
42101980500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101000801,223.0,13.0,36.0,90.0,67.0,0.0,17.0,574.0,145.0,392.0,30.0,7.0,0.0,0.0
42101001101,684.0,51.0,206.0,245.0,84.0,98.0,0.0,1129.0,309.0,457.0,282.0,81.0,0.0,0.0
42101027402,1622.0,0.0,119.0,648.0,566.0,198.0,91.0,680.0,42.0,430.0,162.0,24.0,22.0,0.0
42101008601,365.0,0.0,69.0,142.0,47.0,0.0,107.0,1015.0,293.0,541.0,143.0,12.0,10.0,16.0
42101036502,1116.0,91.0,113.0,321.0,252.0,151.0,188.0,271.0,18.0,137.0,94.0,22.0,0.0,0.0
42101036700,689.0,73.0,236.0,154.0,105.0,83.0,38.0,853.0,288.0,471.0,59.0,28.0,7.0,0.0
42101037600,330.0,78.0,87.0,104.0,56.0,5.0,0.0,988.0,205.0,538.0,182.0,48.0,8.0,7.0
