fips,family_total,family_2_person,family_3_person,family_4_person,family_5_person,family_6_person,family_7_plus_person,nonfamily_total,nonfamily_1_person,nonfamily_2_person,nonfamily_3_person,nonfamily_4_person,nonfamily_5_person,nonfamily_6_person,nonfamily_7_plus_person
1,78298703.0,33959708.0,17751023.0,15118815.0,7053972.0,2714627.0,1700558.0,40527218.0,32863560.0,6211551.0,938227.0,366548.0,97966.0,30192.0,19174.0
42,3217046.0,1485790.0,738638.0,600558.0,250697.0,89215.0,52148.0,1790396.0,1484869.0,253891.0,33231.0,12860.0,3751.0,938.0,856.0
42101,311734.0,130154.0,78843.0,57566.0,26542.0,11559.0,7070.0,279546.0,232689.0,37449.0,6159.0,2233.0,619.0,220.0,177.0
42101024400,517.0,155.0,107.0,127.0,46.0,82.0,0.0,583.0,491.0,92.0,0.0,0.0,0.0,0.0,0.0
42101035900,1469.0,822.0,208.0,270.0,138.0,31.0,0.0,701.0,672.0,29.0,0.0,0.0,0.0,0.0,0.0
42101036201,1184.0,581.0,272.0,174.0,121.0,36.0,0.0,734.0,639.0,82.0,13.0,0.0,0.0,0.0,0.0
42101036202,1340.0,616.0,353.0,232.0,111.0,28.0,0.0,1009.0,695.0,252.0,0.0,62.0,0.0,0.0,0.0
42101010600,296.0,104.0,58.0,88.0,19.0,8.0,19.0,337.0,311.0,14.0,9.0,0.0,3.0,0.0,0.0
42101024600,584.0,231.0,135.0,121.0,84.0,0.0,13.0,430.0,415.0,15.0,0.0,0.0,0.0,0.0,0.0
42101024900,617.0,333.0,158.0,94.0,17.0,9.0,6.0,501.0,448.0,53.0,0.0,0.0,0.0,0.0,0.0
42101025800,396.0,247.0,79.0,46.0,16.0,0.0,8.0,349.0,332.0,17.0,0.0,0.0,0.0,0.0,0.0
42101026500,1061.0,353.0,254.0,151.0,182.0,83.0,38.0,621.0,519.0,70.0,9.0,23.0,0.0,0.0,0.0
42101026700,1523.0,575.0,547.0,286.0,85.0,0.0,30.0,1015.0,975.0,40.0,0.0,0.0,0.0,0.0,0.0
42101034000,688.0,246.0,179.0,141.0,89.0,0.0,33.0,348.0,314.0,34.0,0.0,0.0,0.0,0.0,0.0
42101026800,859.0,424.0,173.0,161.0,40.0,10.0,51.0,1056.0,1021.0,35.0,0.0,0.0,0.0,0.0,0.0
42101031900,983.0,354.0,193.0,249.0,63.0,103.0,21.0,735.0,528.0,187.0,20.0,0.0,0.0,0.0,0.0
42101033000,1553.0,537.0,319.0,428.0,187.0,48.0,34.0,1112.0,966.0,58.0,88.0,0.0,0.0,0.0,0.0
