fips,car_truck_van,public_transit_total,bus,trolley,subway,railroad,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_at_home
1,127053717.0,7607907.0,3775804.0,87817.0,2821237.0,866557.0,56492.0,205519.0,270958.0,871695.0,4049337.0,1345499.0,7027410.0
42,5073902.0,332315.0,221111.0,7339.0,44347.0,58980.0,538.0,5364.0,6379.0,30021.0,225480.0,41613.0,261525.0
42101,386057.0,164181.0,109181.0,2635.0,33768.0,18556.0,41.0,1705.0,655.0,13888.0,54146.0,6437.0,22505.0
42101024400,618.0,195.0,161.0,0.0,24.0,10.0,0.0,0.0,0.0,0.0,11.0,37.0,114.0
42101035900,2339.0,110.0,38.0,0.0,11.0,61.0,0.0,0.0,0.0,0.0,60.0,9.0,35.0
42101036201,2228.0,174.0,60.0,0.0,25.0,89.0,0.0,0.0,0.0,0.0,12.0,0.0,34.0
42101036202,2396.0,353.0,177.0,0.0,18.0,158.0,0.0,57.0,0.0,0.0,34.0,0.0,4.0
42101010600,153.0,196.0,166.0,0.0,20.0,10.0,0.0,0.0,0.0,39.0,7.0,0.0,24.0
42101024600,612.0,174.0,167.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,113.0,0.0,16.0
42101024900,431.0,455.0,425.0,1.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
42101025800,447.0,230.0,141.0,0.0,0.0,89.0,0.0,6.0,0.0,0.0,11.0,16.0,8.0
42101026500,1136.0,987.0,898.0,0.0,54.0,35.0,0.0,0.0,0.0,8.0,41.0,0.0,7.0
42101026700,1418.0,890.0,767.0,0.0,93.0,30.0,0.0,0.0,0.0,0.0,68.0,28.0,55.0
42101034000,983.0,188.0,107.0,0.0,0.0,81.0,0.0,0.0,0.0,8.0,60.0,0.0,44.0
42101026800,1028.0,844.0,721.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,110.0
42101031900,1830.0,530.0,308.0,0.0,182.0,40.0,0.0,0.0,0.0,0.0,50.0,8.0,63.0
42101033000,1819.0,472.0,333.0,0.0,16.0,123.0,0.0,0.0,0.0,42.0,76.0,23.0,91.0
42101034600,1029.0,194.0,154.0,0.0,28.0,12.0,0.0,0.0,0.0,0.0,77.0,0.0,16.0
42101034801,1701.0,191.0,126.0,0.0,11.0,54.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0
42101006100,921.0,257.0,239.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,8.0
42101008400,707.0,559.0,399.0,20.0,140.0,0.0,0.0,0.0,0.0,37.0,174.0,0.0,39.0
42101009000,438.0,494.0,192.0,12.0,241.0,49.0,0.0,14.0,0.0,77.0,677.0,20.0,91.0
42101010200,432.0,436.0,346.0,34.0,56.0,0.0,0.0,0.0,0.0,0.0,67.0,40.0,23.0
42101010900,391.0,307.0,251.0,0.0,33.0,9.0,14.0,0.0,0.0,37.0,92.0,8.0,57.0
42101014200,1998.0,648.0,134.0,0.0,483.0,31.0,0.0,54.0,0.0,127.0,206.0,0.0,242.0
42101016100,1376.0,717.0,288.0,21.0,349.0,59.0,0.0,0.0,15.0,304.0,177.0,37.0,172.0
42101016901,459.0,366.0,325.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,4.0
42101017400,270.0,141.0,99.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,51.0,16.0,32.0
42101025900,1317.0,616.0,458.0,42.0,72.0,44.0,0.0,0.0,0.0,0.0,47.0,0.0,35.0
42101029000,1996.0,649.0,417.0,0.0,50.0,182.0,0.0,0.0,0.0,36.0,154.0,64.0,48.0
42101030100,1270.0,685.0,592.0,0.0,60.0,33.0,0.0,0.0,0.0,0.0,22.0,0.0,34.0
42101013700,978.0,722.0,697.0,25.0,0.0,0.0,0.0,0.0,0.0,33.0,197.0,0.0,44.0
42101011500,1393.0,626.0,563.0,16.0,47.0,0.0,0.0,0.0,0.0,42.0,26.0,39.0,19.0
42101012000,400.0,152.0,98.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,120.0,35.0,57.0
42101012100,666.0,294.0,237.0,0.0,8.0,49.0,0.0,0.0,0.0,0.0,22.0,91.0,30.0
42101016600,287.0,237.0,123.0,6.0,63.0,45.0,0.0,0.0,0.0,0.0,95.0,0.0,7.0
42101017602,715.0,266.0,199.0,0.0,55.0,12.0,0.0,0.0,0.0,12.0,50.0,28.0,55.0
