fips,white,black,american_indian,asian,pacific_islander,other,two_or_more
1,234370202.0,40610815.0,2632102.0,17186320.0,570116.0,15553808.0,10081044.0
42,10378174.0,1417611.0,24995.0,417525.0,3665.0,251215.0,297320.0
42101,652204.0,668123.0,5641.0,111487.0,831.0,87384.0,43987.0
42101024400,278.0,2584.0,18.0,0.0,0.0,0.0,113.0
42101035900,4027.0,137.0,57.0,809.0,0.0,196.0,100.0
42101036201,4338.0,261.0,0.0,32.0,0.0,17.0,134.0
42101036202,5114.0,553.0,0.0,163.0,0.0,94.0,21.0
42101010600,122.0,1414.0,0.0,152.0,0.0,0.0,44.0
42101024600,328.0,2483.0,0.0,0.0,0.0,113.0,56.0
42101024900,21.0,2679.0,2.0,0.0,0.0,0.0,13.0
42101025800,76.0,1497.0,7.0,25.0,0.0,0.0,15.0
42101026500,118.0,5427.0,0.0,0.0,0.0,15.0,93.0
42101026700,52.0,6600.0,0.0,0.0,0.0,0.0,28.0
42101034000,2139.0,331.0,0.0,289.0,0.0,114.0,77.0
42101026800,306.0,3884.0,0.0,326.0,0.0,0.0,329.0
42101031900,2388.0,1664.0,81.0,224.0,0.0,641.0,138.0
42101033000,5076.0,1101.0,0.0,63.0,0.0,643.0,471.0
42101034600,1425.0,734.0,0.0,365.0,0.0,80.0,113.0
42101034801,3935.0,321.0,0.0,49.0,0.0,38.0,65.0
42101006100,314.0,2535.0,0.0,122.0,0.0,8.0,0.0
42101008400,154.0,4343.0,27.0,11.0,0.0,0.0,192.0
42101009000,4013.0,404.0,11.0,1208.0,0.0,83.0,353.0
42101010200,0.0,3262.0,0.0,0.0,0.0,25.0,24.0
42101010900,478.0,2169.0,7.0,94.0,0.0,4.0,84.0
42101014200,3302.0,474.0,0.0,333.0,0.0,118.0,160.0
42101016100,3655.0,282.0,74.0,767.0,0.0,1032.0,217.0
42101016901,107.0,3089.0,0.0,0.0,0.0,0.0,9.0
42101017400,319.0,1750.0,0.0,0.0,0.0,0.0,38.0
42101025900,52.0,4585.0,0.0,29.0,0.0,0.0,146.0
42101029000,2463.0,2643.0,276.0,308.0,0.0,1537.0,145.0
42101030100,2121.0,2971.0,2.0,79.0,0.0,280.0,277.0
42101013700,1048.0,3405.0,0.0,55.0,76.0,20.0,51.0
42101011500,189.0,4403.0,24.0,0.0,0.0,28.0,42.0
42101012000,629.0,1046.0,0.0,138.0,0.0,7.0,51.0
42101012100,732.0,2208.0,0.0,203.0,0.0,17.0,57.0
42101016600,410.0,1111.0,0.0,6.0,0.0,101.0,54.0
42101017602,2228.0,432.0,25.0,42.0,0.0,1475.0,151.0
42101017300,182.0,2286.0,0.0,26.0,0.0,6.0,9.0
42101017500,2357.0,2136.0,41.0,63.0,0.0,2027.0,160.0
42101025300,208.0,3965.0,0.0,133.0,0.0,70.0,113.0
42101023800,1226.0,2345.0,0.0,45.0,0.0,48.0,399.0
42101025200,659.0,6404.0,61.0,51.0,0.0,0.0,47.0
