fips,total_population
1,321004407.0
42,12790505.0
42101,1569657.0
42101024400,2993.0
42101035900,5326.0
42101036201,4782.0
42101036202,5945.0
42101010600,1732.0
42101024600,2980.0
42101024900,2715.0
42101025800,1620.0
42101026500,5653.0
42101026700,6680.0
42101034000,2950.0
42101026800,4845.0
42101031900,5136.0
42101033000,7354.0
42101034600,2717.0
42101034801,4408.0
42101006100,2979.0
42101008400,4727.0
42101009000,6072.0
42101010200,3311.0
42101010900,2836.0
42101014200,4387.0
42101016100,6027.0
42101016901,3205.0
42101017400,2107.0
42101025900,4812.0
42101029000,7372.0
42101030100,5730.0
42101013700,4655.0
42101011500,4686.0
42101012000,1871.0
42101012100,3217.0
42101016600,1682.0
42101017602,4353.0
42101017300,2509.0
42101017500,6784.0
42101025300,4489.0
42101023800,4063.0
42101025200,7222.0
42101026200,4014.0
42101027300,6291.0
42101028400,4409.0
42101028600,6674.0
42101000100,4155.0
42101001300,6482.0
42101030700,4377.0
42101031200,5207.0
42101023100,1323.0
42101023500,1282.0
42101004001,4035.0
42101001900,3381.0
42101003100,4319.0
42101003200,4064.0
42101006200,4798.0
42101007200,4858.0
42101007400,4786.0
42101009200,3590.0
42101016400,4640.0
42101031502,4283.0
42101031401,7617.0
42101033701,6163.0
42101033702,5286.0
42101027901,4290.0
42101031402,5980.0
42101016701,2836.0
42101016702,2642.0
42101027902,4246.0
42101008101,2884.0
42101980300,0.0
42101036900,5740.0
42101037300,5603.0
42101037200,4520.0
42101038300,3346.0
42101039000,9466.0
42101037800,2646.0
42101037700,5532.0
42101008701,4356.0
42101008102,5763.0
42101008602,2439.0
42101037500,4200.0
42101980800,0.0
42101018002,6036.0
42101008801,2320.0
42101980100,98.0
42101007102,4944.0
42101008802,6452.0
42101008702,2770.0
42101012201,3114.0
42101009801,2391.0
42101007101,2638.0
42101002801,4832.0
42101980500,0.0
42101000801,1407.0
42101001101,3762.0
42101027402,6650.0
42101008601,3033.0
42101036502,4026.0
42101036700,3035.0
42101037600,3051.0
42101038600,1390.0
42101038900,3510.0
42101038500,1902.0
42101038700,2595.0
42101038800,3783.0
42101980000,1013.0
42101010000,4744.0
42101010100,7731.0
42101010700,3527.0
42101013300,3354.0
42101013500,3894.0
42101014300,1718.0
42101014600,4165.0
42101016902,4954.0
42101017100,4338.0
42101000700,3451.0
42101001800,3272.0
42101002100,2280.0
42101025700,3944.0
42101021100,2473.0
42101026100,3671.0
42101027200,4742.0
42101027500,4946.0
42101028000,3947.0
42101029400,3288.0
42101030000,6600.0
