fips,for_rent,rented_unoccupied,for_sale,sold_unoccupied,seasonal,migrant_workers,other_vacant
1,2838344.0,620294.0,1346331.0,650264.0,5462087.0,35846.0,5614477.0
42,97964.0,23439.0,58693.0,29543.0,175834.0,607.0,260077.0
42101,21825.0,4225.0,7365.0,5343.0,3259.0,59.0,46520.0
42101024400,62.0,22.0,0.0,22.0,0.0,0.0,177.0
42101035900,0.0,0.0,0.0,0.0,35.0,0.0,41.0
42101036201,18.0,0.0,59.0,0.0,0.0,0.0,110.0
42101036202,0.0,0.0,0.0,0.0,0.0,0.0,106.0
42101010600,16.0,16.0,0.0,0.0,0.0,0.0,195.0
42101024600,67.0,0.0,23.0,0.0,0.0,0.0,271.0
42101024900,58.0,0.0,43.0,0.0,0.0,0.0,209.0
42101025800,16.0,0.0,0.0,0.0,0.0,0.0,59.0
42101026500,30.0,0.0,0.0,0.0,22.0,0.0,221.0
42101026700,31.0,0.0,30.0,0.0,0.0,0.0,300.0
42101034000,0.0,0.0,0.0,29.0,0.0,0.0,54.0
42101026800,16.0,29.0,0.0,0.0,20.0,0.0,164.0
42101031900,119.0,0.0,27.0,0.0,0.0,0.0,49.0
42101033000,81.0,0.0,45.0,0.0,0.0,0.0,86.0
42101034600,39.0,0.0,21.0,0.0,0.0,0.0,8.0
42101034801,24.0,9.0,53.0,0.0,0.0,0.0,26.0
42101006100,60.0,0.0,21.0,21.0,0.0,0.0,54.0
42101008400,104.0,0.0,62.0,63.0,0.0,0.0,246.0
42101009000,60.0,0.0,0.0,0.0,0.0,0.0,83.0
42101010200,90.0,22.0,0.0,39.0,0.0,0.0,69.0
42101010900,68.0,0.0,0.0,18.0,34.0,0.0,97.0
42101014200,89.0,0.0,0.0,33.0,14.0,0.0,32.0
42101016100,41.0,0.0,0.0,0.0,58.0,0.0,150.0
42101016901,37.0,0.0,36.0,20.0,0.0,0.0,375.0
42101017400,78.0,0.0,0.0,0.0,0.0,0.0,170.0
42101025900,68.0,0.0,36.0,0.0,0.0,0.0,146.0
42101029000,0.0,0.0,26.0,0.0,0.0,0.0,34.0
42101030100,189.0,0.0,38.0,0.0,0.0,0.0,127.0
42101013700,109.0,0.0,0.0,80.0,0.0,0.0,528.0
42101011500,0.0,0.0,0.0,31.0,0.0,0.0,104.0
42101012000,17.0,0.0,10.0,0.0,0.0,0.0,70.0
42101012100,89.0,0.0,0.0,0.0,0.0,0.0,19.0
42101016600,59.0,15.0,0.0,0.0,4.0,0.0,9.0
42101017602,29.0,0.0,0.0,0.0,0.0,0.0,96.0
42101017300,66.0,0.0,22.0,0.0,0.0,0.0,216.0
42101017500,0.0,0.0,47.0,28.0,0.0,0.0,303.0
42101025300,128.0,37.0,8.0,24.0,0.0,0.0,275.0
42101023800,219.0,31.0,67.0,67.0,0.0,0.0,197.0
42101025200,68.0,0.0,0.0,0.0,31.0,0.0,457.0
42101026200,0.0,0.0,39.0,0.0,32.0,0.0,155.0
42101027300,84.0,0.0,0.0,0.0,24.0,0.0,77.0
42101028400,16.0,0.0,22.0,0.0,0.0,0.0,142.0
42101028600,29.0,0.0,0.0,0.0,0.0,0.0,234.0
42101000100,83.0,65.0,0.0,150.0,13.0,0.0,0.0
42101001300,133.0,0.0,59.0,45.0,17.0,0.0,46.0
42101030700,74.0,0.0,0.0,0.0,0.0,0.0,102.0
42101031200,73.0,26.0,0.0,0.0,27.0,0.0,50.0
42101023100,42.0,0.0,5.0,0.0,0.0,0.0,17.0
42101023500,0.0,0.0,12.0,0.0,0.0,0.0,5.0
42101004001,29.0,0.0,0.0,18.0,16.0,0.0,126.0
42101001900,31.0,28.0,22.0,62.0,0.0,0.0,39.0
42101003100,42.0,0.0,0.0,86.0,25.0,0.0,297.0
42101003200,81.0,43.0,57.0,49.0,0.0,0.0,569.0
42101006200,67.0,16.0,0.0,0.0,0.0,0.0,40.0
42101007200,141.0,0.0,32.0,11.0,0.0,0.0,127.0
42101007400,146.0,0.0,0.0,0.0,0.0,0.0,248.0
42101009200,84.0,15.0,0.0,0.0,9.0,0.0,190.0
42101016400,21.0,23.0,0.0,0.0,0.0,0.0,254.0
42101031502,30.0,0.0,0.0,50.0,38.0,0.0,107.0
42101031401,33.0,0.0,0.0,96.0,34.0,0.0,31.0
42101033701,128.0,0.0,0.0,0.0,0.0,0.0,0.0
42101033702,6.0,28.0,12.0,0.0,0.0,0.0,10.0
42101027901,33.0,0.0,18.0,0.0,0.0,0.0,227.0
42101031402,38.0,0.0,12.0,0.0,0.0,0.0,70.0
42101016701,36.0,17.0,0.0,0.0,0.0,0.0,414.0
42101016702,54.0,0.0,9.0,0.0,0.0,0.0,379.0
42101027902,11.0,0.0,0.0,11.0,16.0,0.0,140.0
42101008101,0.0,0.0,68.0,0.0,0.0,0.0,184.0
42101980300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101036900,37.0,42.0,0.0,0.0,20.0,0.0,0.0
42101037300,67.0,0.0,23.0,0.0,15.0,0.0,0.0
42101037200,0.0,26.0,0.0,25.0,0.0,0.0,46.0
42101038300,33.0,0.0,0.0,0.0,0.0,0.0,129.0
42101039000,85.0,0.0,69.0,0.0,0.0,0.0,70.0
42101037800,31.0,29.0,0.0,0.0,33.0,0.0,45.0
42101037700,261.0,70.0,48.0,24.0,0.0,0.0,102.0
42101008701,42.0,31.0,0.0,60.0,0.0,0.0,0.0
42101008102,0.0,11.0,0.0,63.0,0.0,0.0,279.0
42101008602,85.0,19.0,40.0,21.0,21.0,0.0,88.0
42101037500,51.0,10.0,0.0,0.0,25.0,0.0,23.0
42101980800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101018002,38.0,0.0,0.0,0.0,42.0,0.0,84.0
42101008801,12.0,12.0,0.0,0.0,0.0,0.0,12.0
